Label,Mean,NormIntensity,Area,X,Y,Experiment
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807786,251.532,0.25890266425846015,0.083,26.875,25.804,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807787,156.237,0.16081522651491276,0.04,29.051,25.838,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807784,155.778,0.16034277639765276,0.047,25.867,25.327,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807785,167.172,0.17207065577904718,0.061,20.372,25.735,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807790,183.373,0.18874639510307478,0.071,26.524,26.103,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807791,313.887,0.323084858292763,0.084,17.266,26.224,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807788,145.246,0.14950215627786645,0.06,16.314,25.828,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807789,150.364,0.15477012948077817,0.035,28.179,26.033,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807778,171.667,0.17669737315831416,0.079,28.207,23.947,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807779,288.538,0.29699305432234296,0.084,23.303,24.18,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807776,144.962,0.14920983420095613,0.027,22.212,23.854,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807777,,,0.0,,,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807782,153.448,0.15794450020328304,0.061,21.635,24.512,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807783,205.192,0.21120475917387033,0.077,20.94,25.153,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807780,133.667,0.13758385582524527,0.003,22.616,24.304,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807781,141.05,0.14518320052182546,0.021,28.783,24.465,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807802,219.55,0.2259834929072441,0.084,25.965,27.393,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807803,317.275,0.3265721371539324,0.084,22.394,27.393,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807800,308.087,0.31711490038403145,0.084,22.167,27.23,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807801,306.762,0.31575107379281264,0.084,28.399,27.328,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807806,219.872,0.22631492850148746,0.082,19.439,27.909,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807807,358.525,0.3690308895220664,0.084,31.45,28.172,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807804,339.725,0.3496799914730745,0.084,19.052,27.555,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807805,263.481,0.27120180685353484,0.083,31.224,27.848,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807794,157.271,0.1618795259076073,0.051,26.829,26.445,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807795,241.753,0.24883710936372114,0.081,28.662,26.585,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807792,181.846,0.18717464928813804,0.068,22.86,26.236,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807793,253.238,0.2606586553260974,0.084,21.291,26.387,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807798,652.638,0.6717623085584057,0.084,19.96,27.068,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807799,219.818,0.22625934613475102,0.081,28.144,27.07,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807796,286.312,0.2947018256490953,0.084,28.886,26.971,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807797,141.214,0.14535200622821026,0.015,20.54,27.045,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807690,156.878,0.16147500979413634,0.052,24.764,10.391,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807691,172.312,0.17736127364988863,0.067,26.366,10.702,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807688,199.473,0.20531817481524348,0.078,26.612,10.258,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807689,255.167,0.2626441809822945,0.082,28.921,10.355,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807694,349.825,0.3600759526589691,0.084,28.529,10.938,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807695,144.385,0.1486159263193461,0.027,22.174,11.145,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807692,233.45,0.2402908058264456,0.084,28.107,10.743,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807693,165.375,0.1702209981304281,0.059,24.699,10.908,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807682,203.15,0.20910292226876173,0.084,24.634,8.406,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807683,162.519,0.16728130851192166,0.057,22.003,9.231,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807680,213.947,0.22021630770679185,0.079,12.716,33.82,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807681,144.562,0.1487981129658712,0.017,14.151,34.906,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807686,251.6,0.2589726568684246,0.084,27.263,10.094,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807687,157.184,0.16178997653897634,0.04,20.574,10.225,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807684,200.537,0.2064133533005694,0.071,22.423,9.321,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807685,188.72,0.19425007871307268,0.079,26.482,9.574,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807706,172.732,0.17779358094672779,0.075,17.59,13.082,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807707,200.38,0.20625175271579854,0.075,17.823,14.024,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807704,172.212,0.17725834334111737,0.07,26.842,13.001,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807705,145.722,0.14999210454761752,0.019,16.19,13.096,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807710,228.738,0.23544072967714505,0.084,31.028,14.638,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807711,169.763,0.17473758007930987,0.062,23.234,14.681,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807708,179.047,0.1842936299456312,0.067,25.219,14.253,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807709,180.739,0.18603521077004048,0.073,18.103,14.568,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807698,132.0,0.13586800757802878,0.002,31.352,11.587,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807699,170.677,0.1756783631014789,0.065,27.066,12.46,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807696,221.5,0.22799063392828314,0.084,26.451,11.197,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807697,136.167,0.1401571135445261,0.013,17.767,11.389,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807702,296.05,0.30472517911723807,0.084,23.758,12.56,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807703,157.884,0.16251048870037496,0.073,16.582,13.017,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807700,168.125,0.17305158162163703,0.067,23.39,12.479,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807701,201.07,0.20696197184632004,0.075,17.37,12.503,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807722,189.577,0.19513219145924213,0.082,29.635,15.419,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807723,166.476,0.17135426082999938,0.066,30.154,15.45,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807720,226.475,0.23311141678965203,0.084,20.772,15.222,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807721,173.424,0.17850585868342472,0.07,30.406,15.353,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807726,172.817,0.17788107170918335,0.063,26.517,15.785,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807727,161.06,0.16577955530694938,0.071,30.266,16.011,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807724,268.587,0.2764574284193941,0.084,29.21,15.611,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807725,181.889,0.18721890932090968,0.076,17.397,15.635,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807714,176.554,0.18172757734796435,0.068,22.977,14.866,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807715,310.663,0.31976638513797845,0.084,19.928,14.93,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807712,181.985,0.18731772241733008,0.068,17.926,14.766,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807713,278.846,0.28701704879623496,0.082,29.051,14.769,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807718,256.526,0.26404300387849555,0.082,28.954,15.094,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807719,174.425,0.17953619107422478,0.084,26.484,15.222,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807716,182.425,0.1877706157759235,0.077,21.482,14.925,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807717,229.7,0.23643091924752432,0.084,22.622,15.124,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807738,162.872,0.16764465250188412,0.05,24.696,18.408,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807739,165.439,0.1702868735280417,0.07,16.042,18.467,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807736,171.118,0.17613228576316006,0.072,20.983,17.793,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807737,265.7,0.27348583040516855,0.084,20.285,18.338,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807742,158.245,0.16288206711503914,0.056,29.162,18.779,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807743,218.766,0.2251765192864776,0.081,16.813,18.794,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807740,224.948,0.2315396709747153,0.081,25.806,18.472,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807741,190.186,0.19575903703965897,0.074,22.35,18.688,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807730,151.118,0.15554622400891327,0.054,29.471,16.415,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807731,219.923,0.22636742295896078,0.082,18.11,16.488,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807728,190.081,0.19565096021544914,0.078,16.06,16.288,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807729,192.824,0.19847433858504412,0.078,30.476,16.326,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807734,201.043,0.20693418066295183,0.073,21.292,16.846,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807735,149.25,0.15362348584106664,0.029,30.639,16.886,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807732,278.663,0.2868286863311836,0.084,30.995,16.585,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807733,231.787,0.23857907479158,0.084,19.084,16.747,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807626,225.541,0.2321500477057287,0.078,13.896,13.312,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807627,185.652,0.1910921768399712,0.07,13.605,13.564,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807625,154.791,0.1593268542500807,0.045,15.465,12.999,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807630,275.675,0.2837531287050991,0.084,14.378,18.402,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807631,158.481,0.16312498264373923,0.055,11.924,19.145,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807628,245.709,0.25290903237871115,0.083,13.99,15.126,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807629,331.873,0.3415979036283572,0.083,12.14,15.678,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807642,144.952,0.149199541170079,0.022,11.892,21.82,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807643,198.09,0.20389464864493728,0.082,12.172,22.268,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807640,216.688,0.22303762747021136,0.084,11.424,21.064,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807641,220.443,0.22690266056457123,0.083,9.9,21.13,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807646,177.414,0.18261277800339695,0.074,12.454,22.713,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807647,369.95,0.3807906772991799,0.084,10.451,23.238,Exp97_C5
MAX_20241221_Exp97_RNA-FISH_Cytb_CF610_MRPL45_488_2cell_C5_Airyscan Processing-1.tif:ID46807644,323.734,0.3332204057974664,0.083,11.718,22.428,Exp97_C5
